Expression,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
4929.10 - 5929.9,-1000.8,-1000.8,-1000.8,-1000.8,-1000.8
4929.11 - 5929.9,-1000.79,-1000.79,-1000.79,-1000.79,-1000.79
4929.12 - 5929.9,-1000.78,-1000.78,-1000.78,-1000.78,-1000.78
4929.13 - 5929.9,-1000.77,-1000.77,-1000.77,-1000.77,-1000.77
4929.14 - 5929.9,-1000.76,-1000.76,-1000.76,-1000.76,-1000.76
4929.15 - 5929.9,-1000.75,-1000.75,-1000.75,-1000.75,-1000.75
4929.16 - 5929.9,-1000.74,-1000.74,-1000.74,-1000.74,-1000.74
4929.17 - 5929.9,-1000.73,-1000.73,-1000.73,-1000.73,-1000.73
4929.18 - 5929.9,-1000.72,-1000.72,-1000.72,-1000.72,-1000.72
4929.19 - 5929.9,-1000.71,-1000.71,-1000.71,-1000.71,-1000.71
